timestamp;"Do you run UI5 freestyle apps in production?
2.2.2024 15:45:47;Yes;No;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Webide;to an on-premise SAP System, to a SAP System in der Cloud;;;;;;;;;;;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Private Cloud;2;;;;;;;
2.2.2024 15:56:41;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";20+;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to BTP;;;;;;;4;Over 20;;None;1.108 to 1.120;SAP On-Premise S/4;2;1-5;11-15;1-5;1-5;1-5;1-5;20+
2.2.2024 15:57:47;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries";20+;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Eclipse;to an on-premise SAP System, to BTP;;;to BTP;;;;30;40;70;;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Public Cloud, BTP;2;1-5;;20+;;1-5;1-5;20+
2.2.2024 16:10:54;No;No;Yes;;1-5;none;;;;;;;;;;to an on-premise SAP System;;;;;;SAP On-Premise S/4;1;;;;;;;11-15
2.2.2024 16:24:56;Yes;No;Yes;UI5 Libraries;11-15;none;Fiori Tools (in BAS or VS Code);;Business Application Studio (BAS) in BTP;to BTP;;;;;;;2;;;;1.96 to 1.108;BTP;1;;;;;;;
2.2.2024 16:53:19;Yes;Yes;No;"none of the above, simply ""Freestyle""";;Unit Tests (QUnit);Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code), copy existing app;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to BTP;to BTP;to BTP;;;;to BTP;15;4;;;1.96 to 1.108;SAP On-Premise S/4, BTP;3;;1-5;;;;;
2.2.2024 17:22:32;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse;to an on-premise SAP System;;to an on-premise SAP System;to an on-premise SAP System;;;;10+;;10+;;1.96 to 1.108;SAP On-Premise S/4;3;1-5;;;1-5;;1-5;
2.2.2024 17:29:13;Yes;No;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;2;;;;1.108 to 1.120;SAP On-Premise S/4;2;;;;;;;
2.2.2024 17:41:26;Yes;No;No;"Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;Unit Tests (QUnit);Fiori Tools (in BAS or VS Code);;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;to BTP;;;;;;;;;;1.108 to 1.120;SAP On-Premise ECC, BTP;0;;;;;;;
2.2.2024 17:45:15;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";6-10;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud;;;;;;to an on-premise SAP System, to a SAP System in der Cloud;25;15;55;;2.x;SAP On-Premise S/4, BTP;4;1-5;1-5;6-10;6-10;;;20+
2.2.2024 17:50:24;Yes;Yes;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;;;;;;;3;;;;1.96 to 1.108;SAP On-Premise S/4, BTP;2;;6-10;;;;;
2.2.2024 17:55:57;Yes;No;No;"none of the above, simply ""Freestyle""";;Unit Tests (QUnit);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;2;;;;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4;1;;;;;;;
2.2.2024 18:00:45;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";;Playwright;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;2;;;;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4;1;1-5;1-5;;;;;16-20
2.2.2024 18:41:30;Yes;Yes;Yes;"none of the above, simply ""Freestyle""";;;;;Business Application Studio (BAS) in BTP;to an on-premise SAP System;to an on-premise SAP System;;;;;;10;;;;;;1;1-5;1-5;1-5;;;;
2.2.2024 19:41:22;No;No;No;;;none;are not used;are not used;We don't develop II5 based apps;to an on-premise SAP System;;;;;;;;;;;;SAP On-Premise S/4;0;;;;;;;
2.2.2024 20:30:03;Yes;No;No;Reuse Components, UI5 Libraries;;none;you built your own generator;;Visual Studio Code (VS Code);;;to an on-premise SAP System;;;;;>30;;;;1.108 to 1.120;SAP On-Premise ECC;2;;;;;;;
2.2.2024 21:35:35;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";20+;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code), copy existing app;Business Application Studio (BAS) in BTP;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;to BTP;to an on-premise SAP System, to BTP;to an on-premise SAP System, to BTP;;;;15;7;999;;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4, BTP, Hybrid;3;6-10;1-5;20+;20+;20+;20+;20+
2.2.2024 22:23:08;Yes;Yes;Yes;UI5 Web Components, Reuse Components, UI5 Libraries;1-5;Unit Tests (QUnit), Integration Tests (OPA5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;10;20;;1.85 to 1.96;SAP On-Premise ECC, SAP On-Premise S/4;3;6-10;1-5;20+;1-5;1-5;1-5;1-5
2.2.2024 23:56:28;Yes;Yes;No;"none of the above, simply ""Freestyle""";;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud;;;;;;to an on-premise SAP System;10;;;D3.js;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4;4;6-10;1-5;11-15;1-5;;;
2.3.2024 3:36:05;No;Yes;Yes;;11-15;none;you built your own generator;copy existing app;Eclipse;;;;;;;to an on-premise SAP System;;;100;;;SAP On-Premise S/4;4;1-5;1-5;6-10;6-10;1-5;1-5;11-15
2.3.2024 5:49:37;No;No;Yes;;1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, JetBrains software;to an on-premise SAP System, to BTP;;;;;;;;;;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, BTP;3;;;;;6-10;6-10;1-5
2.3.2024 13:16:17;Yes;No;Yes;UI5 Web Components, UI5 Libraries;1-5;none;Fiori Tools (in BAS or VS Code);;Visual Studio Code (VS Code), Eclipse;;;;;;;to an on-premise SAP System;1;;5;;;SAP On-Premise ECC;1;;;;;1-5;;
2.3.2024 14:47:07;No;Yes;Yes;;;Karma;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;to BTP;;;;;;;;;cds launchpad plugin;1.108 to 1.120;SAP On-Premise S/4, BTP;3;11-15;11-15;11-15;1-5;;;20+
2.3.2024 18:00:26;Yes;Yes;Yes;"UI5 Libraries, none of the above, simply ""Freestyle""";;end-to-end Tests (wdi5);"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;to an on-premise SAP System;;;;to an on-premise SAP System;;;;;1.60 to 1.71;SAP On-Premise ECC, BTP;1;1-5;;;;;;
2.3.2024 20:59:02;Yes;No;Yes;Reuse Components, UI5 Libraries, Custom Control Library ;;none;"""Easy UI5""-Generator";;Visual Studio Code (VS Code);;;;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;10+;;5+;;1.96 to 1.108;SAP On-Premise ECC, SAP S/4 Private Cloud, BTP;;;;;;1-5;;1-5
2.4.2024 12:35:12;Yes;No;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;to an on-premise SAP System;;;to an on-premise SAP System;3;;;;1.72 to 1.84;SAP On-Premise ECC;0;;;;;;;
2.4.2024 19:09:55;Yes;No;No;Reuse Components, UI5 Libraries;;end-to-end Tests (wdi5);copy existing app;copy existing app;Visual Studio Code (VS Code);;;;;;;to AWS;3;;;;1.108 to 1.120;SAP On-Premise S/4, Other Cloud System;4;;;;;;;
2.4.2024 23:25:55;Yes;No;No;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", UI5 Libraries";;Unit Tests (QUnit);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to BTP;;to Azure;;;;;;;;;1.72 to 1.84;SAP S/4 Public Cloud;4;;;;;;;
2.4.2024 23:35:43;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, Third Party libraries like d3.js";16-20;none;copy existing app, Internal template apps/skeletons;Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code), Eclipse, webIDE;to an on-premise SAP System;;;;;;to an on-premise SAP System;20;;;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4;1;20+;11-15;16-20;1-5;6-10;6-10;11-15
2.5.2024 6:57:28;Yes;No;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;;;Visual Studio Code (VS Code);;;;;;;;;;;;;SAP On-Premise S/4;;;;;;;;
2.5.2024 7:14:40;Yes;Yes;Yes;"Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls""";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;No idea, 5+;;;;1.72 to 1.84;SAP On-Premise S/4;2;1-5;;;1-5;;;11-15
2.5.2024 7:18:08;Yes;No;Yes;Reuse Components, UI5 Libraries;;none;Fiori Tools (in BAS or VS Code);We don't;Business Application Studio (BAS) in BTP;to an on-premise SAP System;;;;;;;30;;;None;1.108 to 1.120;SAP On-Premise ECC;1;;;;;;1-5;
2.5.2024 7:29:35;Yes;Yes;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code), Eclipse;;;;;;;to an on-premise SAP System;;;;;1.85 to 1.96;SAP On-Premise ECC, SAP On-Premise S/4;1;6-10;;;;;;
2.5.2024 7:34:39;No;Yes;Yes;;;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Eclipse, WEBIDE;to an on-premise SAP System;;;;;;;;;;;1.60 to 1.71;SAP S/4 Private Cloud, BTP;2;11-15;;20+;1-5;;;20+
2.5.2024 7:43:31;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to BTP;;;;;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Public Cloud;3;11-15;11-15;;;;6-10;
2.5.2024 7:44:03;No;Yes;Yes;;1-5;none;;;Eclipse;;;;;;;to an on-premise SAP System;;;;;1.72 to 1.84;SAP On-Premise S/4;1;;;6-10;;;;6-10
2.5.2024 8:09:02;Yes;No;Yes;UI5 Libraries;;none;Fiori Tools (in BAS or VS Code);;Business Application Studio (BAS) in BTP;to an on-premise SAP System;;;;;;;;;;;1.108 to 1.120;SAP On-Premise ECC;1;;;;;;1-5;
2.5.2024 8:09:59;Yes;No;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";6-10;none;expressui5 with custom template;;Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;20;;10;;1.60 to 1.71;SAP On-Premise ECC;2;;;;;6-10;6-10;1-5
2.5.2024 8:17:06;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", Reuse Components";20+;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to an on-premise SAP System, to BTP;;;;;;;;;;;1.108 to 1.120;SAP On-Premise S/4, BTP;3;11-15;16-20;20+;20+;11-15;11-15;20+
2.5.2024 8:33:53;No;No;No;;;none;;;;;;;;;;;;;;;;;;;;;;;;
2.5.2024 8:38:56;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";;none;copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Eclipse;to an on-premise SAP System;;;;;;;4;3;10;;1.96 to 1.108;SAP On-Premise S/4;1;1-5;1-5;1-5;6-10;1-5;;6-10
2.5.2024 8:55:38;Yes;Yes;Yes;UI5 Web Components, UI5 Libraries;;;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;;;;;10;;;;;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Private Cloud, BTP;;;;;;;;
2.5.2024 9:23:15;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, none of the above, simply ""Freestyle""";1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;100;5;5;;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4, BTP;2;1-5;1-5;1-5;;1-5;1-5;
2.5.2024 9:29:41;Yes;No;Yes;"UI5 Libraries, none of the above, simply ""Freestyle""";1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse;to an on-premise SAP System;;;;;;;3;;;None;1.72 to 1.84;SAP On-Premise S/4;2;;;;;;;1-5
2.5.2024 9:37:28;Yes;No;Yes;UI5 Libraries;;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;to BTP;;;to BTP;4;;9;;1.108 to 1.120;SAP On-Premise S/4, BTP;1;;;;;;;6-10
2.5.2024 9:40:34;Yes;No;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";1-5;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code), you built your own generator, copy existing app;Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;;;none;1.96 to 1.108;SAP On-Premise ECC, BTP, Other On-Premise System;2;;;;;1-5;1-5;1-5
2.5.2024 9:58:16;Yes;Yes;No;"OData v2 ""Smart Controls"", UI5 Libraries";;suxxesso test suite;"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;5;5;;;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4;4;1-5;;;1-5;;;
2.5.2024 10:47:55;Yes;No;No;UI5 Libraries;;none;copy existing app;;JetBrains software, Eclipse;;;to BTP, to AWS;;;to BTP, to AWS;to BTP, to AWS;2;;;;1.108 to 1.120;BTP, Hybrid, Other Cloud System;4;;;;;;;
2.5.2024 11:38:25;Yes;No;Yes;"none of the above, simply ""Freestyle""";;Own test scenarios;copy existing app;;SAP Web IDE;;;;;;;;;;;PDFJS-Library;1.60 to 1.71;SAP On-Premise ECC;4;;;;;11-15;;
2.5.2024 12:09:24;Yes;Yes;Yes;Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), Reuse Components, UI5 Libraries;1-5;Unit Tests (QUnit);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;to BTP;;to BTP;;;;15;5;10;;1.60 to 1.71;SAP On-Premise ECC, BTP;1;1-5;;;;1-5;1-5;6-10
2.5.2024 12:20:10;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, Freestyle too";16-20;Unit Tests (QUnit);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;;to an on-premise SAP System;;;;to an on-premise SAP System;>30;>10;;;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4, BTP;2;1-5;1-5;;;1-5;1-5;16-20
2.5.2024 12:31:11;Yes;No;No;"none of the above, simply ""Freestyle""";;end-to-end Tests (wdi5);"""Easy UI5""-Generator";;Visual Studio Code (VS Code);;;;;;;;;;;;1.108 to 1.120;Other On-Premise System;4;;;;;;;
2.5.2024 12:47:57;Yes;No;No;UI5 Libraries;;Unit Tests (QUnit);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";copy existing app;Visual Studio Code (VS Code);;;;to BTP;;;;;;;;1.108 to 1.120;BTP;0;;;;;;;
2.5.2024 12:48:00;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries";1-5;Unit Tests (QUnit);Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code), copy existing app;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;;;;;;;;;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4, BTP;2;1-5;1-5;6-10;6-10;6-10;1-5;1-5
2.5.2024 13:20:07;Yes;No;Yes;"OData v2 ""Smart Controls"", UI5 Libraries, none of the above, simply ""Freestyle""";20+;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), JetBrains software;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;;;;to an on-premise SAP System;15;;;;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4, BTP;3;;;;;1-5;1-5;20+
2.5.2024 13:20:30;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries, d3 Library";;Unit Tests (QUnit);you built your own generator;you built your own generator;Visual Studio Code (VS Code);;;to an on-premise SAP System;;;;to an on-premise SAP System;6;13;1;;1.96 to 1.108;SAP On-Premise ECC;4;11-15;;;1-5;1-5;;
2.5.2024 13:37:47;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), UI5 Libraries";;end-to-end Tests (wdi5);"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;;;;;;1.108 to 1.120;BTP;1;;;;;;;
2.5.2024 14:31:19;Yes;No;Yes;"UI5 Web Components, OData v2 ""Smart Controls"", UI5 Libraries";1-5;Unit Tests (QUnit);Fiori Tools (in BAS or VS Code), copy existing app;;Visual Studio Code (VS Code), Eclipse;;to BTP;;;;;to BTP;3;;;;;SAP On-Premise S/4, SAP S/4 Private Cloud, BTP, Hybrid;;;;;;;1-5;
2.5.2024 14:40:50;Yes;Yes;No;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;15;;;;1.108 to 1.120;SAP On-Premise ECC;1;11-15;11-15;;;;;
2.5.2024 15:05:53;Yes;No;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud;;;;;;to an on-premise SAP System;7;;10+;Sap UI5 vs code extension for code assist;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4, BTP;3;;;;;;11-15;1-5
2.5.2024 15:49:54;No;Yes;Yes;;1-5;none;copy existing app;copy existing app;;;;;;;;;;;;;;SAP On-Premise ECC, BTP;1;;;6-10;;;;
2.5.2024 18:21:48;Yes;Yes;Yes;"Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", none of the above, simply ""Freestyle""";6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;to BTP;;;;;2;25;;2.x;SAP On-Premise S/4, BTP;1;1-5;6-10;;;6-10;6-10;11-15
2.5.2024 18:40:30;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";20+;Unit Tests (QUnit), Integration Tests (OPA5), Tosca;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse;;;;;;;;1000;;200;;1.96 to 1.108;BTP, Hybrid;3;6-10;6-10;6-10;6-10;20+;20+;20+
