timestamp;"Do you run UI5 freestyle apps in production?
2.5.2024 18:43:03;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";16-20;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to an on-premise SAP System, to BTP;to BTP;to BTP;;;;;20;15;300;;1.96 to 1.108;SAP On-Premise S/4, BTP;2;11-15;6-10;11-15;11-15;16-20;20+;20+
2.6.2024 7:49:33;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", UI5 Libraries";1-5;Unit Tests (QUnit), Integration Tests (OPA5);"""Easy UI5""-Generator, copy existing app";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to Azure;40;5;50;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, BTP;2;1-5;1-5;;;1-5;1-5;20+
2.6.2024 8:45:17;Yes;No;No;UI5 Libraries;;Using them partially as of now. Explore wdi5 along with other generic frameworks (cypress, selenium) for integration tests across technologies - React, UI5 ;you built your own generator, copy existing app;Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;to an on-premise SAP System, to BTP, to AWS;;;;;8;;;;1.96 to 1.108;SAP On-Premise ECC, BTP, Hybrid, Other Cloud System;4;;;;;;;
2.6.2024 11:04:10;No;No;Yes;;1-5;none;;;;;;;;;;;;;10-15;none;;SAP S/4 Private Cloud;3;;;;;;;1-5
2.6.2024 11:34:19;Yes;No;No;"UI5 Web Components, OData v2 ""Smart Controls"", UI5 Libraries";;Jest;you built your own generator;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;to BTP;;;;;3;;;mobx;1.108 to 1.120;BTP;0;;;;;;;
2.6.2024 23:05:44;Yes;No;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";;Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;;;;1.72 to 1.84;SAP On-Premise ECC, Own Webserver (nodes);1;;;;;;;
2.6.2024 23:10:19;Yes;Yes;Yes;"OData v2 ""Smart Controls"", none of the above, simply ""Freestyle""";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code), Eclipse;;;;;;;to an on-premise SAP System;40;;;quagga js barcode scanner for lower ui5 versions;1.85 to 1.96;SAP On-Premise S/4;4;;;1-5;;;;1-5
2.7.2024 9:29:47;No;No;No;;;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;;;Visual Studio Code;1.108 to 1.120;SAP On-Premise S/4, Other On-Premise System;0;;;;;;;
2.7.2024 11:10:11;Yes;Yes;Yes;UI5 Web Components, UI5 Libraries;1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to an on-premise SAP System, to BTP;;;;;;;5;10;20;;;SAP On-Premise S/4, BTP;3;1-5;1-5;1-5;1-5;1-5;1-5;6-10
2.7.2024 11:11:05;Yes;No;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to an on-premise SAP System;;;;;;;;;;;;SAP On-Premise S/4;1;;;;;1-5;1-5;1-5
2.7.2024 11:11:11;Yes;Yes;Yes;"UI5 Web Components, OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code), Eclipse;;;;to an on-premise SAP System;;;to an on-premise SAP System;;1;;VSC and Gitlab;1.96 to 1.108;SAP On-Premise S/4, Hybrid;1;1-5;;;;6-10;6-10;11-15
2.7.2024 11:11:21;Yes;No;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;copy existing app;copy existing app;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;to an on-premise SAP System;;;;;;;;1.72 to 1.84;SAP On-Premise ECC;2;;;;;;;
2.7.2024 11:11:32;Yes;Yes;No;"Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries";;Unit Tests (QUnit), end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;3;;Ui5-deployer;1.72 to 1.84;SAP On-Premise ECC;1;1-5;1-5;1-5;1-5;;;
2.7.2024 11:11:48;Yes;No;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;;;;1.72 to 1.84;SAP On-Premise S/4;4;;;;;;;
2.7.2024 11:11:57;Yes;No;No;UI5 Web Components, Reuse Components, UI5 Libraries;;none;you built your own generator;;Business Application Studio (BAS) in BTP, Eclipse;to BTP;;;;;;to an on-premise SAP System;5;;;;;SAP On-Premise S/4, BTP;;;;;;;;
2.7.2024 11:16:40;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;Unit Tests (QUnit);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Eclipse, WebIDE;to an on-premise SAP System;;;;;;;X;X;;;1.108 to 1.120;SAP On-Premise S/4, BTP;1;11-15;6-10;20+;6-10;;;
2.7.2024 11:35:15;Yes;No;No;"UI5 Web Components, OData v2 ""Smart Controls"", UI5 Libraries";;none;;;Visual Studio Code (VS Code), Eclipse;;;;;;;to an on-premise SAP System;2;;;Eclipse;1.60 to 1.71;Other On-Premise System;1;;;;;;;
2.7.2024 11:41:07;Yes;No;Yes;"UI5 Web Components, OData v2 ""Smart Controls"", UI5 Libraries";20+;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;to an on-premise SAP System;to an on-premise SAP System;;;to an on-premise SAP System;;;;;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4;1;;;;;16-20;11-15;16-20
2.7.2024 11:47:01;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code), copy existing app;Visual Studio Code (VS Code), Eclipse;;;;;;to an on-premise SAP System;;3;1;;;;SAP On-Premise ECC, SAP On-Premise S/4;2;1-5;1-5;;;;;
2.7.2024 12:08:19;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls""))";6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;;;;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;5;25;many;;1.108 to 1.120;SAP On-Premise S/4, SAP S/4 Public Cloud, SAP S/4 Private Cloud, BTP;3;11-15;6-10;;6-10;6-10;6-10;20+
2.7.2024 12:34:23;Yes;No;Yes;"OData v2 ""Smart Controls"", UI5 Libraries, none of the above, simply ""Freestyle""";6-10;end-to-end Tests (wdi5);Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to BTP;to BTP;to BTP;;;;;More than 15;;;;1.108 to 1.120;BTP;1;;;;;6-10;6-10;20+
2.7.2024 14:52:21;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to BTP;;;;;;;2;;;;> 1.60;BTP;4;1-5;;1-5;;;;
2.7.2024 15:52:29;Yes;Yes;Yes;UI5 Web Components, UI5 Libraries;6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to an on-premise SAP System;to an on-premise SAP System;;;;;;5;;;;;SAP On-Premise ECC, SAP On-Premise S/4, BTP;0;1-5;1-5;1-5;1-5;6-10;1-5;1-5
2.7.2024 16:55:12;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";Fiori Tools (in BAS or VS Code), copy existing app;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;;;;;;to an on-premise SAP System, to BTP;;;;;1.108 to 1.120;SAP On-Premise S/4, BTP;4;6-10;;;;;;
2.7.2024 20:48:31;Yes;Yes;No;"none of the above, simply ""Freestyle""";;Unit Tests (QUnit);"""Easy UI5""-Generator, copy existing app";you built your own generator;Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;;3;;Ui5 tooling;1.85 to 1.96;SAP On-Premise ECC;4;1-5;1-5;;;;;
2.8.2024 3:05:20;Yes;No;No;UI5 Libraries;;none;copy existing app;;Business Application Studio (BAS) in BTP;to BTP;;;;;;;7;;;;;BTP;1;;;;;;;
2.8.2024 8:28:19;Yes;No;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;Fiori Tools (in BAS or VS Code), copy existing app;;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;to BTP;;;;;6;;;;1.96 to 1.108;BTP;2;;;;;;;
2.8.2024 8:49:13;Yes;Yes;No;Reuse Components, UI5 Libraries;;Integration Tests (OPA5);"""Easy UI5""-Generator, you built your own generator";;Simplifier;;;;;;;;;;;chartjs;1.96 to 1.108;BTP, Other Cloud System;4;1-5;;;;;;
2.8.2024 8:50:04;No;No;Yes;;6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse;to an on-premise SAP System;;;;;;to an on-premise SAP System;;;20;not;1.85 to 1.96;SAP On-Premise S/4;1;;;;;;;1-5, 11-15
2.8.2024 8:53:42;No;No;Yes;;;none;;;;;;;;;;;;;;;;;;;;;;;;1-5
2.8.2024 9:17:43;Yes;No;No;UI5 Libraries;;Playwright;Neptune;;Neptune Application Designer;;;;;;;to an on-premise SAP System, to a SAP System in der Cloud;60;;;;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4;;;;;;;;
2.8.2024 15:56:25;Yes;No;No;"UI5 Web Components, OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse;to a SAP System in der Cloud, to BTP;;;;;;to an on-premise SAP System;50;;;none;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Public Cloud, SAP S/4 Private Cloud, BTP;2;;;;;;;
2.10.2024 13:03:39;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code), Eclipse;;;;;;;to an on-premise SAP System;20;40;;;1.72 to 1.84;SAP On-Premise S/4;1;20+;16-20;16-20;11-15;6-10;6-10;11-15
2.11.2024 7:10:20;Yes;No;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";1-5;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code), copy existing app;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to BTP;to BTP;;;;;;50;;;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, BTP;2;;;;;1-5;1-5;1-5
2.11.2024 9:09:06;Yes;Yes;Yes;Reuse Components, UI5 Libraries, Own libraries ;1-5;Unit Tests (QUnit), Integration Tests (OPA5), end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), IntelliJ for Java CAP;;to AWS;;;;;;45;30;20;None;1.60 to 1.71;SAP On-Premise ECC, SAP On-Premise S/4, BTP;3;6-10;6-10;1-5;6-10;1-5;1-5;1-5
2.12.2024 8:37:44;No;Yes;Yes;;16-20;Unit Tests (QUnit), Integration Tests (OPA5), end-to-end Tests (wdi5);"""Easy UI5""-Generator";;Business Application Studio (BAS) in BTP, Eclipse;to an on-premise SAP System;;;;;;;;;;;;SAP On-Premise S/4, BTP;;;6-10;20+;;;;16-20
2.13.2024 7:08:55;No;No;Yes;;;Unit Tests (QUnit), end-to-end Tests (wdi5);Neptune DXP;;Neptune DXP;;;to a SAP System in der Cloud;;;;to a SAP System in der Cloud;;;;;1.108 to 1.120;SAP S/4 Private Cloud;4;;;;;1-5;1-5;
2.14.2024 11:26:21;Yes;Yes;Yes;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";6-10;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Sometimes still the WebIde in the Personal Edition;to an on-premise SAP System, to BTP;;;;;;to BTP;3;2;12;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, BTP, Other Cloud System;2;1-5;;;;;1-5;
2.14.2024 11:48:53;No;No;Yes;;6-10;Manuelle Tests;Fiori Tools (in BAS or VS Code), copy existing app;;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;;;;abap2UI5;1.72 to 1.84;SAP On-Premise ECC, SAP On-Premise S/4;1;;;;;1-5;1-5;
2.14.2024 17:15:44;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;none;"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System, to BTP;;2;;;1.60 to 1.71;SAP On-Premise ECC, BTP;1;;1-5;;;;;
2.15.2024 17:41:18;Yes;Yes;Yes;"Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;10;10;;;1.85 to 1.96;SAP On-Premise S/4;4;1-5;1-5;1-5;1-5;1-5;1-5;1-5
2.16.2024 3:33:36;Yes;Yes;Yes;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), UI5 Libraries, Other NPM libraries ";1-5;end-to-end Tests (wdi5);"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), JetBrains software;to an on-premise SAP System;;;;;;;;3;;;1.108 to 1.120;BTP;4;1-5;;;;;;1-5
2.16.2024 8:38:23;Yes;Yes;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;;4;;None;1.96 to 1.108;SAP On-Premise ECC;1;1-5;1-5;;;;;
2.21.2024 8:56:35;Yes;No;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";1-5;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;to an on-premise SAP System;;;;8;;4;odata2ts;1.108 to 1.120;SAP On-Premise S/4, BTP;3;;;;;1-5;1-5;1-5
2.23.2024 23:50:01;Yes;Yes;Yes;"OData v2 ""Smart Controls"", none of the above, simply ""Freestyle""";;none;Fiori Tools (in BAS or VS Code), you built your own generator, copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;to an on-premise SAP System, to BTP;;;;30;2;5;ui5 cc spreadsheet uploader;1.108 to 1.120;SAP On-Premise S/4, BTP;3;1-5;;;1-5;1-5;1-5;
2.29.2024 8:40:20;Yes;No;Yes;UI5 Libraries;6-10;none;Fiori Tools (in BAS or VS Code);;WebIDE;;to an on-premise SAP System;;;;;;1;;10;none;1.60 to 1.71;SAP On-Premise S/4;1;;;;;;;1-5
3.1.2024 13:16:28;Yes;Yes;Yes;Reuse Components, UI5 Libraries;;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;approx 50;max 5;approx 25;;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4;2;1-5;;1-5;;;1-5;20+
3.1.2024 20:53:08;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, none of the above, simply ""Freestyle""";1-5;Unit Tests (QUnit), Integration Tests (OPA5);Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;;;;;;;30;3;100;Moment;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4, BTP, Hybrid;2;1-5;;;;11-15;6-10;20+
3.2.2024 7:06:01;Yes;No;Yes;"none of the above, simply ""Freestyle"", Not sure if the question will Côme later: we run in sapui5 1.71 for almost all apps, except One is on 1.38";1-5;none;copy existing app;We don’t ;Visual Studio Code (VS Code);;;;to an on-premise SAP System;to an on-premise SAP System;to an on-premise SAP System;to an on-premise SAP System;About 40-50;;;;1.60 to 1.71;SAP On-Premise ECC;2;;;;;1-5;1-5;
3.4.2024 2:03:32;Yes;Yes;Yes;"OData v2 ""Smart Controls""";;none;"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to BTP;;;;;;;5;2;200;;1.108 to 1.120;SAP S/4 Public Cloud, BTP;4;1-5;;;;;;20+
3.4.2024 10:20:26;Yes;No;Yes;"UI5 Libraries, none of the above, simply ""Freestyle""";11-15;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;;;;;1.96 to 1.108;SAP On-Premise ECC;1;;;;;1-5;;
3.5.2024 10:02:54;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", none of the above, simply ""Freestyle""";1-5;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);to an on-premise SAP System;;to an on-premise SAP System;;;;to an on-premise SAP System;25;5;;;1.85 to 1.96;SAP On-Premise ECC, SAP On-Premise S/4;1;1-5;1-5;1-5;;1-5;;20+
3.7.2024 7:20:15;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, TypeScript";;Unit Tests (QUnit), Integration Tests (OPA5);own freestyle ui5 + TypeScript template (git repository);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;to BTP;;to BTP;;;to BTP;70+;;;;1.96 to 1.108;SAP On-Premise ECC;3;11-15;1-5;;;;;
3.8.2024 7:34:46;Yes;No;No;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries, XML Freestyle views";;Integration Tests (OPA5), end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";;Business Application Studio (BAS) in BTP;to BTP;;;;;;;;;;;1.108 to 1.120;BTP;4;;;;;;;
3.12.2024 18:14:53;No;Yes;Yes;;6-10, 11-15;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;;;;;1.108 to 1.120;SAP On-Premise S/4, BTP;2;1-5;1-5;;;6-10;6-10;16-20
4.5.2024 2:25:39;Yes;Yes;Yes;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, External libraries and map libs";11-15;Unit Tests (QUnit), Integration Tests (OPA5), end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), you built your own generator";Fiori Tools (in BAS or VS Code), you built your own generator;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse, SAP WebIDE;to an on-premise SAP System, to a SAP System in der Cloud, to BTP, to Azure;;;;;;;A lot;More than 10;A lot;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Private Cloud, BTP, Hybrid;2;1-5;;6-10;1-5;;;11-15
4.5.2024 21:00:44;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";20+;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud, to BTP;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;;;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;At some customers around 100 apps, others 20 to 50. Depends from customer to customer.;25 to 50, depending on the customer ;200 to 500 depending on customer ;None;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Private Cloud, BTP, Hybrid, Other Cloud System;3;20+;16-20;6-10;11-15;11-15;11-15;20+
4.15.2024 14:14:01;Yes;No;No;UI5 Libraries;;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";;Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System, to a SAP System in der Cloud;;;;;1.60 to 1.71;SAP On-Premise ECC;1;;;;;;;
4.18.2024 19:56:56;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;;;;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4;2;6-10;1-5;11-15;1-5;1-5;1-5;1-5